orderbook_timestamp,book,bid,ask,spread
2024-07-18 13:44:37+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:44:38+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:44:39+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:44:40+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:44:41+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:44:42+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:44:43+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:44:44+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:44:45+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:44:46+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:44:47+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:44:49+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:44:49+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:44:51+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:44:52+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:44:53+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:44:54+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:44:55+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:44:56+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:44:57+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:44:58+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:44:59+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:45:00+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:45:01+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:45:02+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:45:03+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:45:04+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:45:05+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:45:06+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:45:07+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:45:08+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:45:09+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:45:10+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:45:11+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:45:12+00:00,usd_mxn,17.77,17.78,0.056
2024-07-18 13:45:13+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:14+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:15+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:16+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:17+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:18+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:19+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:20+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:21+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:22+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:23+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:24+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:25+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:26+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:27+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:28+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:29+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:30+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:31+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:32+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:33+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:34+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:35+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:36+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:38+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:38+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:40+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:41+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:42+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:43+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:44+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:45+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:46+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:47+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:48+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:49+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:50+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:51+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:52+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:53+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:54+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:55+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:56+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:57+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:58+00:00,usd_mxn,17.77,17.79,0.112
2024-07-18 13:45:59+00:00,usd_mxn,17.77,17.79,0.112
