orderbook_timestamp,book,bid,ask,spread
2024-07-18 17:23:48+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:23:49+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:23:50+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:23:51+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:23:52+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:23:54+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:23:54+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:23:55+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:23:56+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:23:57+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:23:58+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:23:59+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:00+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:01+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:02+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:03+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:04+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:05+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:06+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:07+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:08+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:09+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:10+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:11+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:12+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:13+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:14+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:15+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:16+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:17+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:18+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:19+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:20+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:21+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:22+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:23+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:24+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:25+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:26+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:28+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:28+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:30+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:31+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:32+00:00,usd_mxn,17.9,17.92,0.112
2024-07-18 17:24:33+00:00,usd_mxn,17.9,17.92,0.112
