orderbook_timestamp,book,bid,ask,spread
2024-07-17 14:28:05+00:00,usd_mxn,17.75,17.76,0.056
2024-07-17 14:28:06+00:00,usd_mxn,17.75,17.76,0.056
2024-07-17 14:28:07+00:00,usd_mxn,17.75,17.76,0.056
2024-07-17 14:28:08+00:00,usd_mxn,17.75,17.76,0.056
2024-07-17 14:28:09+00:00,usd_mxn,17.75,17.76,0.056
2024-07-17 14:28:10+00:00,usd_mxn,17.75,17.76,0.056
2024-07-17 14:28:11+00:00,usd_mxn,17.75,17.76,0.056
2024-07-17 14:28:12+00:00,usd_mxn,17.75,17.76,0.056
2024-07-17 14:28:13+00:00,usd_mxn,17.75,17.76,0.056
2024-07-17 14:28:14+00:00,usd_mxn,17.75,17.76,0.056
2024-07-17 14:28:15+00:00,usd_mxn,17.75,17.76,0.056
2024-07-17 14:28:16+00:00,usd_mxn,17.75,17.76,0.056
2024-07-17 14:28:17+00:00,usd_mxn,17.75,17.76,0.056
2024-07-17 14:28:18+00:00,usd_mxn,17.75,17.76,0.056
2024-07-17 14:28:19+00:00,usd_mxn,17.75,17.76,0.056
2024-07-17 14:28:20+00:00,usd_mxn,17.74,17.75,0.056
2024-07-17 14:28:21+00:00,usd_mxn,17.74,17.75,0.056
2024-07-17 14:28:22+00:00,usd_mxn,17.74,17.75,0.056
2024-07-17 14:28:23+00:00,usd_mxn,17.74,17.75,0.056
2024-07-17 14:28:24+00:00,usd_mxn,17.74,17.75,0.056
2024-07-17 14:28:25+00:00,usd_mxn,17.74,17.75,0.056
2024-07-17 14:28:26+00:00,usd_mxn,17.74,17.75,0.056
2024-07-17 14:28:27+00:00,usd_mxn,17.74,17.75,0.056
2024-07-17 14:28:29+00:00,usd_mxn,17.74,17.75,0.056
2024-07-17 14:28:30+00:00,usd_mxn,17.74,17.75,0.056
2024-07-17 14:28:31+00:00,usd_mxn,17.74,17.75,0.056
2024-07-17 14:28:32+00:00,usd_mxn,17.74,17.75,0.056
2024-07-17 14:28:33+00:00,usd_mxn,17.74,17.75,0.056
2024-07-17 14:28:34+00:00,usd_mxn,17.74,17.75,0.056
