orderbook_timestamp,book,bid,ask,spread
2024-07-17 00:23:54+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:23:55+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:23:56+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:23:57+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:23:58+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:23:59+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:00+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:01+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:02+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:03+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:04+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:05+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:06+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:07+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:08+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:09+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:10+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:11+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:12+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:13+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:14+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:15+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:16+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:17+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:18+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:19+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:20+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:21+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:22+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:23+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:24+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:25+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:26+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:27+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:28+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:29+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:30+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:31+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:32+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:33+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:34+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:35+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:36+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:37+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:38+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:39+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:40+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:41+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:42+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:43+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:44+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:46+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:47+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:48+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:48+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:50+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:51+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:52+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:53+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:54+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:55+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:56+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:57+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:58+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:24:59+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:25:00+00:00,usd_mxn,17.64,17.65,0.057
