orderbook_timestamp,book,bid,ask,spread
2024-07-18 14:56:06+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:07+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:08+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:09+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:10+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:11+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:12+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:13+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:14+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:15+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:16+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:17+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:18+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:19+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:20+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:21+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:23+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:24+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:25+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:26+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:27+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:28+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:29+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:30+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:31+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:32+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:33+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:34+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:35+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:36+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:37+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:38+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:39+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:40+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:41+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:42+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:43+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:44+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:45+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:46+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:47+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:48+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:49+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:50+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:51+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:52+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:53+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:54+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:55+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:56+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:57+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:58+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:56:59+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:57:00+00:00,usd_mxn,17.81,17.82,0.056
2024-07-18 14:57:02+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:03+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:04+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:05+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:06+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:07+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:08+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:09+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:10+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:11+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:12+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:13+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:14+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:15+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:16+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:18+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:19+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:20+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:21+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:22+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:23+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:24+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:25+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:26+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:27+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:28+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:29+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:30+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:31+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:32+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:33+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:34+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:35+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:36+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:37+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:38+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:39+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:40+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:41+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:42+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:43+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:44+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:45+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:46+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:47+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:48+00:00,usd_mxn,17.8,17.82,0.112
2024-07-18 14:57:49+00:00,usd_mxn,17.8,17.82,0.112
