orderbook_timestamp,book,bid,ask,spread
2024-07-17 17:48:43+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:48:44+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:48:45+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:48:46+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:48:47+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:48:48+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:48:49+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:48:50+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:48:51+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:48:52+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:48:53+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:48:54+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:48:55+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:48:56+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:48:57+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:48:58+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:48:59+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:00+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:01+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:02+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:03+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:04+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:05+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:06+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:07+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:08+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:09+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:10+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:12+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:13+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:14+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:15+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:16+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:17+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:18+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:19+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:20+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:21+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:22+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:23+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:24+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:25+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:26+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:27+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:29+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:29+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:30+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:31+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:32+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:33+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:34+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:35+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:36+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:37+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:38+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:39+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:40+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:41+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:42+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:43+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:44+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:45+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:46+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:47+00:00,usd_mxn,17.7,17.72,0.113
2024-07-17 17:49:48+00:00,usd_mxn,17.7,17.72,0.113
